serial,guarantee
344b1800-0370-4c18-b065-576f9eb00dcb,"Guaranteed for 1 year, contact us."
32058217-dff9-4fb1-9933-1b7352ccad23,Guaranteed for 2 years by the manufacturer.
3f332fb2-a6b2-4b68-86a8-73c5e93ed987,"Guaranteed for 2 years, contact us."
99d7a49e-0b4e-4f49-91c2-62c14f3979dc,Guaranteed for 1 year by the manufacturer
a9ddaac9-b6cc-40f9-8189-169a55b24802,Guaranteed for 3 years by the manufacturer
0f5ff482-1e51-42b5-80e0-fee5e7f330eb,"Guaranteed for 1 year, contact us."
b0aea29e-7513-4d75-8149-880b472f4ec6,Guaranteed for 2 years by the manufacturer
ca36931a-a7d2-4323-bd38-85eed6a42aea,"Guaranteed for 1 year, contact us."
0f13e0bc-7286-4b52-ac07-8933c6fa57e0,Guaranteed for 2 years by the manufacturer
3a32bece-5fa7-4e96-ab93-c4a0fe5bd983,Guaranteed for 2 years by the manufacturer
